Brand,Product Name,Model No,Size,EU Size,Color,Musinsa Price,Musinsa Stock,Poizon Price,Poizon Stock,Profit,Margin (%),Status,Poizon Score,Poizon Rank,Image URL,Musinsa URL,Has Profit,Updated At
Musinsa,RX 슬라이드 3.0 - 블리치드 샌드:팔콘:캐시미어 블루 / L47449600,L47449600,220,-,ONE COLOR,138000,OUT_OF_STOCK,0,N/A,0,0.0,N/A,33.58,C (보통),https:/images/prd_img/20240612/4190559/detail_4190559_17181709614041_500.jpg,https://www.musinsa.com/products/4190559,True,2026-04-25 22:21:43
Musinsa,RX 슬라이드 3.0 - 블리치드 샌드:팔콘:캐시미어 블루 / L47449600,L47449600,225,-,ONE COLOR,138000,OUT_OF_STOCK,0,N/A,0,0.0,N/A,33.58,C (보통),https:/images/prd_img/20240612/4190559/detail_4190559_17181709614041_500.jpg,https://www.musinsa.com/products/4190559,True,2026-04-25 22:21:43
Musinsa,RX 슬라이드 3.0 - 블리치드 샌드:팔콘:캐시미어 블루 / L47449600,L47449600,230,36⅔,ONE COLOR,138000,OUT_OF_STOCK,143800,IN_STOCK,0,0.0,N/A,33.58,C (보통),https:/images/prd_img/20240612/4190559/detail_4190559_17181709614041_500.jpg,https://www.musinsa.com/products/4190559,True,2026-04-25 22:21:43
Musinsa,RX 슬라이드 3.0 - 블리치드 샌드:팔콘:캐시미어 블루 / L47449600,L47449600,235,37⅓,ONE COLOR,138000,OUT_OF_STOCK,136500,IN_STOCK,0,0.0,N/A,33.58,C (보통),https:/images/prd_img/20240612/4190559/detail_4190559_17181709614041_500.jpg,https://www.musinsa.com/products/4190559,True,2026-04-25 22:21:43
Musinsa,RX 슬라이드 3.0 - 블리치드 샌드:팔콘:캐시미어 블루 / L47449600,L47449600,240,38⅔,ONE COLOR,138000,OUT_OF_STOCK,0,OUT_OF_STOCK,0,0.0,N/A,33.58,C (보통),https:/images/prd_img/20240612/4190559/detail_4190559_17181709614041_500.jpg,https://www.musinsa.com/products/4190559,True,2026-04-25 22:21:43
Musinsa,RX 슬라이드 3.0 - 블리치드 샌드:팔콘:캐시미어 블루 / L47449600,L47449600,245,39⅓,ONE COLOR,138000,OUT_OF_STOCK,0,OUT_OF_STOCK,0,0.0,N/A,33.58,C (보통),https:/images/prd_img/20240612/4190559/detail_4190559_17181709614041_500.jpg,https://www.musinsa.com/products/4190559,True,2026-04-25 22:21:43
Musinsa,RX 슬라이드 3.0 - 블리치드 샌드:팔콘:캐시미어 블루 / L47449600,L47449600,250,40,ONE COLOR,138000,OUT_OF_STOCK,0,OUT_OF_STOCK,0,0.0,N/A,33.58,C (보통),https:/images/prd_img/20240612/4190559/detail_4190559_17181709614041_500.jpg,https://www.musinsa.com/products/4190559,True,2026-04-25 22:21:43
Musinsa,RX 슬라이드 3.0 - 블리치드 샌드:팔콘:캐시미어 블루 / L47449600,L47449600,255,-,ONE COLOR,138000,OUT_OF_STOCK,0,N/A,0,0.0,N/A,33.58,C (보통),https:/images/prd_img/20240612/4190559/detail_4190559_17181709614041_500.jpg,https://www.musinsa.com/products/4190559,True,2026-04-25 22:21:43
Musinsa,RX 슬라이드 3.0 - 블리치드 샌드:팔콘:캐시미어 블루 / L47449600,L47449600,260,41⅓,ONE COLOR,138000,OUT_OF_STOCK,126500,IN_STOCK,0,0.0,N/A,33.58,C (보통),https:/images/prd_img/20240612/4190559/detail_4190559_17181709614041_500.jpg,https://www.musinsa.com/products/4190559,True,2026-04-25 22:21:43
Musinsa,RX 슬라이드 3.0 - 블리치드 샌드:팔콘:캐시미어 블루 / L47449600,L47449600,265,42,ONE COLOR,138000,OUT_OF_STOCK,103700,IN_STOCK,0,0.0,N/A,33.58,C (보통),https:/images/prd_img/20240612/4190559/detail_4190559_17181709614041_500.jpg,https://www.musinsa.com/products/4190559,True,2026-04-25 22:21:43
