Brand,Product Name,Model No,Size,EU Size,Color,Musinsa Price,Musinsa Stock,Poizon Price,Poizon Stock,Profit,Margin (%),Status,Poizon Score,Poizon Rank,Image URL,Musinsa URL,Has Profit,Updated At
Musinsa,숏슬리브 저지 - 블랙 / HZ0844,HZ0844,2,A/2XS,블랙,0,N/A,114300,IN_STOCK,0,0.0,N/A,43.52,C (보통),https:/images/prd_img/20260304/6076746/detail_6076746_17726989655561_500.jpg,,True,2026-04-26 19:06:11
Musinsa,숏슬리브 저지 - 블랙 / HZ0844,HZ0844,85,A/XS,ONE COLOR,55200,OUT_OF_STOCK,69600,IN_STOCK,0,0.0,N/A,43.52,C (보통),https:/images/prd_img/20260304/6076746/detail_6076746_17726989655561_500.jpg,https://www.musinsa.com/products/6076746,True,2026-04-26 19:06:11
Musinsa,숏슬리브 저지 - 블랙 / HZ0844,HZ0844,90,A/S,ONE COLOR,55200,IN_STOCK,54500,IN_STOCK,-700,-1.27,LOSS,43.52,C (보통),https:/images/prd_img/20260304/6076746/detail_6076746_17726989655561_500.jpg,https://www.musinsa.com/products/6076746,True,2026-04-26 19:06:11
Musinsa,숏슬리브 저지 - 블랙 / HZ0844,HZ0844,95,A/M,ONE COLOR,55200,IN_STOCK,71000,IN_STOCK,15800,28.62,PROFIT,43.52,C (보통),https:/images/prd_img/20260304/6076746/detail_6076746_17726989655561_500.jpg,https://www.musinsa.com/products/6076746,True,2026-04-26 19:06:11
Musinsa,숏슬리브 저지 - 블랙 / HZ0844,HZ0844,100,A/L,ONE COLOR,55200,IN_STOCK,51200,IN_STOCK,-4000,-7.25,LOSS,43.52,C (보통),https:/images/prd_img/20260304/6076746/detail_6076746_17726989655561_500.jpg,https://www.musinsa.com/products/6076746,True,2026-04-26 19:06:11
Musinsa,숏슬리브 저지 - 블랙 / HZ0844,HZ0844,105,A/XL,ONE COLOR,55200,IN_STOCK,50900,IN_STOCK,-4300,-7.79,LOSS,43.52,C (보통),https:/images/prd_img/20260304/6076746/detail_6076746_17726989655561_500.jpg,https://www.musinsa.com/products/6076746,True,2026-04-26 19:06:11
Musinsa,숏슬리브 저지 - 블랙 / HZ0844,HZ0844,110,A/2XL,ONE COLOR,55200,OUT_OF_STOCK,56900,IN_STOCK,0,0.0,N/A,43.52,C (보통),https:/images/prd_img/20260304/6076746/detail_6076746_17726989655561_500.jpg,https://www.musinsa.com/products/6076746,True,2026-04-26 19:06:11
Musinsa,브이넥 롱슬리브 티 - 클라우드화이트 / KC9319,KC9319,2,A/2XS,ONE COLOR,59500,OUT_OF_STOCK,147000,IN_STOCK,0,0.0,N/A,1.11,F (정체),https:/images/prd_img/20251117/5743990/detail_5743990_17633863800159_500.jpg,https://www.musinsa.com/products/5743990,False,2026-04-26 19:06:11
Musinsa,브이넥 롱슬리브 티 - 클라우드화이트 / KC9319,KC9319,85,A/XS,ONE COLOR,59500,IN_STOCK,55100,IN_STOCK,-4400,-7.39,LOSS,1.11,F (정체),https:/images/prd_img/20251117/5743990/detail_5743990_17633863800159_500.jpg,https://www.musinsa.com/products/5743990,False,2026-04-26 19:06:11
Musinsa,브이넥 롱슬리브 티 - 클라우드화이트 / KC9319,KC9319,90,A/S,ONE COLOR,59500,OUT_OF_STOCK,147000,IN_STOCK,0,0.0,N/A,1.11,F (정체),https:/images/prd_img/20251117/5743990/detail_5743990_17633863800159_500.jpg,https://www.musinsa.com/products/5743990,False,2026-04-26 19:06:11
