Brand,Product Name,Model No,Size,EU Size,Color,Musinsa Price,Musinsa Stock,Poizon Price,Poizon Stock,Profit,Margin (%),Status,Poizon Score,Poizon Rank,Image URL,Musinsa URL,Has Profit,Updated At
Musinsa,NS93R44J 화이트라벨 슈퍼 킥스 2 EX_IVORY,NS93R44J,230,-,IVORY,89000,IN_STOCK,0,N/A,0,0.0,N/A,15.96,F (정체),https:/images/prd_img/20250304/4852386/detail_4852386_17708643055873_500.jpg,https://www.musinsa.com/products/4852386,False,2026-04-29 11:39:07
Musinsa,NS93R44J 화이트라벨 슈퍼 킥스 2 EX_IVORY,NS93R44J,235,37,IVORY,89000,IN_STOCK,74200,IN_STOCK,-14800,-16.63,LOSS,15.96,F (정체),https:/images/prd_img/20250304/4852386/detail_4852386_17708643055873_500.jpg,https://www.musinsa.com/products/4852386,False,2026-04-29 11:39:07
Musinsa,NS93R44J 화이트라벨 슈퍼 킥스 2 EX_IVORY,NS93R44J,240,38,IVORY,89000,IN_STOCK,75700,IN_STOCK,-13300,-14.94,LOSS,15.96,F (정체),https:/images/prd_img/20250304/4852386/detail_4852386_17708643055873_500.jpg,https://www.musinsa.com/products/4852386,False,2026-04-29 11:39:07
Musinsa,NS93R44J 화이트라벨 슈퍼 킥스 2 EX_IVORY,NS93R44J,245,38.5,IVORY,89000,OUT_OF_STOCK,93700,IN_STOCK,0,0.0,N/A,15.96,F (정체),https:/images/prd_img/20250304/4852386/detail_4852386_17708643055873_500.jpg,https://www.musinsa.com/products/4852386,False,2026-04-29 11:39:07
Musinsa,NS93R44J 화이트라벨 슈퍼 킥스 2 EX_IVORY,NS93R44J,250,40,IVORY,89000,OUT_OF_STOCK,121800,IN_STOCK,0,0.0,N/A,15.96,F (정체),https:/images/prd_img/20250304/4852386/detail_4852386_17708643055873_500.jpg,https://www.musinsa.com/products/4852386,False,2026-04-29 11:39:07
Musinsa,NS93R44J 화이트라벨 슈퍼 킥스 2 EX_IVORY,NS93R44J,255,40.5,IVORY,89000,OUT_OF_STOCK,110800,IN_STOCK,0,0.0,N/A,15.96,F (정체),https:/images/prd_img/20250304/4852386/detail_4852386_17708643055873_500.jpg,https://www.musinsa.com/products/4852386,False,2026-04-29 11:39:07
Musinsa,NS93R44J 화이트라벨 슈퍼 킥스 2 EX_IVORY,NS93R44J,260,41,IVORY,89000,OUT_OF_STOCK,121800,IN_STOCK,0,0.0,N/A,15.96,F (정체),https:/images/prd_img/20250304/4852386/detail_4852386_17708643055873_500.jpg,https://www.musinsa.com/products/4852386,False,2026-04-29 11:39:07
Musinsa,NS93R44J 화이트라벨 슈퍼 킥스 2 EX_IVORY,NS93R44J,265,42,IVORY,89000,OUT_OF_STOCK,110800,IN_STOCK,0,0.0,N/A,15.96,F (정체),https:/images/prd_img/20250304/4852386/detail_4852386_17708643055873_500.jpg,https://www.musinsa.com/products/4852386,False,2026-04-29 11:39:07
Musinsa,NS93R44J 화이트라벨 슈퍼 킥스 2 EX_IVORY,NS93R44J,270,42.5,IVORY,89000,OUT_OF_STOCK,121800,IN_STOCK,0,0.0,N/A,15.96,F (정체),https:/images/prd_img/20250304/4852386/detail_4852386_17708643055873_500.jpg,https://www.musinsa.com/products/4852386,False,2026-04-29 11:39:07
Musinsa,NS93R44J 화이트라벨 슈퍼 킥스 2 EX_IVORY,NS93R44J,275,43,IVORY,89000,OUT_OF_STOCK,125900,IN_STOCK,0,0.0,N/A,15.96,F (정체),https:/images/prd_img/20250304/4852386/detail_4852386_17708643055873_500.jpg,https://www.musinsa.com/products/4852386,False,2026-04-29 11:39:07
Musinsa,NS93R44J 화이트라벨 슈퍼 킥스 2 EX_IVORY,NS93R44J,280,-,IVORY,89000,OUT_OF_STOCK,0,N/A,0,0.0,N/A,15.96,F (정체),https:/images/prd_img/20250304/4852386/detail_4852386_17708643055873_500.jpg,https://www.musinsa.com/products/4852386,False,2026-04-29 11:39:07
Musinsa,NJ3NR68L 화이트라벨 올레마 플래시 자켓 BROWN,NJ3NR68L,85,XS,BROWN,214400,IN_STOCK,213300,IN_STOCK,-1100,-0.51,LOSS,0.12,F (정체),https:/images/prd_img/20251031/5672964/detail_5672964_17707896498884_500.jpg,https://www.musinsa.com/products/5672964,False,2026-04-29 11:39:07
Musinsa,NJ3NR68L 화이트라벨 올레마 플래시 자켓 BROWN,NJ3NR68L,90,S,BROWN,214400,IN_STOCK,213100,IN_STOCK,-1300,-0.61,LOSS,0.12,F (정체),https:/images/prd_img/20251031/5672964/detail_5672964_17707896498884_500.jpg,https://www.musinsa.com/products/5672964,False,2026-04-29 11:39:07
Musinsa,NJ3NR68L 화이트라벨 올레마 플래시 자켓 BROWN,NJ3NR68L,95,M,BROWN,214400,IN_STOCK,212200,IN_STOCK,-2200,-1.03,LOSS,0.12,F (정체),https:/images/prd_img/20251031/5672964/detail_5672964_17707896498884_500.jpg,https://www.musinsa.com/products/5672964,False,2026-04-29 11:39:07
Musinsa,NJ3NR68L 화이트라벨 올레마 플래시 자켓 BROWN,NJ3NR68L,100,L,BROWN,214400,IN_STOCK,213100,IN_STOCK,-1300,-0.61,LOSS,0.12,F (정체),https:/images/prd_img/20251031/5672964/detail_5672964_17707896498884_500.jpg,https://www.musinsa.com/products/5672964,False,2026-04-29 11:39:07
Musinsa,NJ3NR68L 화이트라벨 올레마 플래시 자켓 BROWN,NJ3NR68L,105,XL,BROWN,214400,IN_STOCK,212800,IN_STOCK,-1600,-0.75,LOSS,0.12,F (정체),https:/images/prd_img/20251031/5672964/detail_5672964_17707896498884_500.jpg,https://www.musinsa.com/products/5672964,False,2026-04-29 11:39:07
Musinsa,NJ3NR68L 화이트라벨 올레마 플래시 자켓 BROWN,NJ3NR68L,110,XXL,BROWN,214400,IN_STOCK,212800,IN_STOCK,-1600,-0.75,LOSS,0.12,F (정체),https:/images/prd_img/20251031/5672964/detail_5672964_17707896498884_500.jpg,https://www.musinsa.com/products/5672964,False,2026-04-29 11:39:07
